,id,name,host_id,host_since,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood,latitude,longitude,is_location_exact,room_type,bathrooms,bedrooms,beds,price,availability,number_of_reviews,first_review,last_review,rating,score_clean,score_communication,score_location
1719,3227864,"Sunny, cosy apartment for 2-5 pers",15037548,2014-05-03,within a few hours,100,False,1.0,True,De Pijp - Rivierenbuurt,52.35357,4.90155,True,Entire home/apt,1,3,3,200.0,115,18,2015-06-01,2019-01-04,9.8,9.0,10.0,9.0
1723,3229172,"Sunny, clean, spacious apartment.",1268116,2011-10-09,within a day,67,False,1.0,True,Bos en Lommer,52.37911,4.85227,True,Entire home/apt,1,1,3,105.0,125,143,2014-08-16,2019-05-17,9.7,10.0,10.0,9.0
1724,3232023,Familyhome + roofterrace & parkview,3758910,2012-10-04,within an hour,100,False,1.0,True,Bos en Lommer,52.37447,4.8474900000000005,False,Entire home/apt,1,3,2,109.0,4,18,2014-07-22,2019-08-09,9.6,9.0,10.0,9.0
1725,3233235,Cosy appartment near Vondelpark,16364122,2014-06-04,within a day,100,True,1.0,True,Zuid,52.35051,4.8499099999999995,True,Entire home/apt,1,1,1,95.0,69,42,2014-10-19,2019-06-19,9.8,10.0,10.0,9.0
1726,3235970,Recentely renovated studio for 4,1759884,2012-02-16,within a few hours,95,False,4.0,True,Centrum-Oost,52.36942,4.91337,True,Entire home/apt,1,1,4,220.0,291,117,2014-10-23,2019-11-18,8.9,9.0,9.0,10.0
1727,3236871,Beautiful flat in Oost,1442073,2011-11-25,within a few hours,100,False,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36087,4.93925,True,Entire home/apt,1,2,3,136.0,165,35,2014-07-28,2019-08-05,9.9,10.0,10.0,9.0
1729,3237354,Beautiful family house with Garden,6211395,2013-05-03,within a day,50,False,4.0,True,Geuzenveld - Slotermeer,52.38143,4.83153,False,Entire home/apt,1,4,4,250.0,12,45,2015-04-13,2019-08-13,8.6,9.0,10.0,9.0
1732,3245544,"Renovated, Cosy Appartment & Garden",16418309,2014-06-05,within a few hours,100,False,2.0,True,De Baarsjes - Oud-West,52.36108,4.85626,True,Entire home/apt,1,1,1,189.0,0,19,2014-08-17,2019-10-26,9.8,10.0,9.0,9.0
1733,3248595,ICN Apartment,7296038,2013-07-05,within a few hours,100,False,0.0,True,Westerpark,52.391000000000005,4.87977,True,Entire home/apt,1,1,1,120.0,0,23,2015-08-16,2018-11-02,9.8,10.0,10.0,9.0
1734,3252415,Apartment available in Amsterdam,14178534,2014-04-12,within a day,100,False,1.0,True,De Baarsjes - Oud-West,52.36213,4.85687,True,Entire home/apt,1,1,2,100.0,0,18,2014-09-09,2019-10-21,9.9,10.0,10.0,9.0
1735,3252863,Open plan bright and spacious apartment Amsterdam,9380280,2013-10-12,within a few hours,100,False,1.0,True,Slotervaart,52.3623,4.8438099999999995,False,Entire home/apt,1,3,3,275.0,34,4,2018-10-22,2019-10-20,9.5,10.0,10.0,8.0
1740,3258033,Private room in East Amsterdam,5664725,2013-03-28,within an hour,100,True,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36475,4.93584,True,Private room,1,1,1,49.0,0,138,2014-06-29,2019-11-22,9.9,10.0,10.0,10.0
1741,3259374,De Zwaluwen (Ransdorp),13695627,2014-03-30,within a few hours,100,False,1.0,True,Noord-Oost,52.39635,4.9962,True,Entire home/apt,1,3,3,140.0,0,44,2014-07-22,2019-11-03,10.0,10.0,10.0,10.0
1742,3260866,Most Luxorious apartment in A'dam,16490291,2014-06-07,within an hour,100,False,1.0,True,Osdorp,52.36104,4.791180000000001,False,Entire home/apt,1,2,2,190.0,362,18,2016-09-10,2019-09-29,9.3,9.0,10.0,9.0
1743,3261562,Cute light house with garden near city centre,16493720,2014-06-07,a few days or more,30,False,1.0,True,Oostelijk Havengebied - Indische Buurt,52.36342,4.935219999999999,False,Entire home/apt,1,1,1,99.0,118,49,2015-06-25,2019-09-02,9.9,10.0,10.0,9.0
1744,3263864,"Light, arty and cosy appartment in East area",16409899,2014-06-05,within a few hours,100,False,1.0,True,Oud-Oost,52.3576,4.91553,True,Entire home/apt,1,0,1,90.0,1,8,2019-02-01,2019-11-04,10.0,10.0,10.0,9.0
1745,3267105,"Great apartment, just renovated",15302962,2014-05-09,within a day,89,False,1.0,True,Zuid,52.35263,4.85504,True,Entire home/apt,1,1,1,109.0,273,43,2014-08-16,2019-09-17,9.2,8.0,10.0,9.0
1747,3270897,Natural charm in Jordaan,14691758,2014-04-24,within a few hours,100,False,1.0,True,Centrum-West,52.37446,4.881,True,Entire home/apt,1,1,1,125.0,13,72,2014-06-23,2019-07-12,9.5,9.0,10.0,10.0
1750,3280939,Spaciously renovated + huge garden,16582432,2014-06-09,within a few hours,100,False,1.0,True,Zuid,52.35229,4.87814,True,Entire home/apt,1,3,4,345.0,15,36,2014-10-18,2019-08-06,9.7,10.0,10.0,9.0
1752,3282245,Oasis in heart of the City | lowest parking fees,12721238,2014-03-02,within an hour,100,False,1.0,True,Oud-Noord,52.38612,4.918480000000001,True,Entire home/apt,1,1,1,99.0,4,55,2014-06-22,2019-07-14,9.7,10.0,10.0,10.0
1753,3285009,White studio with private entrance,16602759,2014-06-10,within an hour,100,False,1.0,True,De Pijp - Rivierenbuurt,52.3533,4.89369,True,Private room,1,1,1,80.0,2,225,2014-06-26,2019-11-11,9.2,9.0,10.0,10.0
1754,3285500,Light & cozy  family house with garden,5434912,2013-03-12,within a day,100,True,1.0,True,Oud-Oost,52.35993,4.93227,False,Entire home/apt,1,2,3,119.0,3,15,2017-08-19,2019-08-05,9.5,9.0,10.0,10.0
1755,3286293,3 bedroom Lux. Loft  in centre A'dam close to ZOO,16607835,2014-06-10,within a few hours,100,True,2.0,True,Centrum-Oost,52.36122,4.90941,False,Entire home/apt,2,3,3,795.0,271,40,2014-07-01,2019-10-21,9.9,10.0,10.0,9.0
1757,3290970,Nice indipendent studio - Erasmuspark,2057587,2012-04-02,within a few hours,100,False,1.0,True,Bos en Lommer,52.37753,4.84501,False,Entire home/apt,1,1,1,85.0,11,15,2014-07-29,2019-06-09,9.9,10.0,10.0,9.0
