,listing_id,month,price
49316,193038,5,125.0
49346,193038,6,125.0
49560,349208,1,75.0
49589,349208,2,75.0
49620,349208,3,75.0
49742,349208,7,75.0
49830,450767,2,255.0
49863,349208,8,75.0
49893,349208,9,75.0
49924,349208,10,75.0
49954,349208,11,75.0
49960,349208,12,75.0
49984,450767,3,255.0
50118,350271,1,395.0
50147,350271,2,395.0
50178,350271,3,395.0
50315,350271,4,395.0
50346,350271,5,395.0
50376,350271,6,395.0
50407,350271,7,395.0
50453,193038,7,150.0
50484,193038,8,135.0
50514,193038,9,135.0
50545,193038,10,135.0
50699,350271,8,395.0
50729,350271,9,395.0
50760,350271,10,395.0
50962,350271,11,395.0
50968,350271,12,395.0
51249,451719,1,190.0
51415,451719,2,190.0
51446,451719,3,175.0
51702,356424,11,100.0
51708,356424,12,100.0
51737,451719,5,175.0
51767,451719,6,175.0
51798,451719,7,190.0
51871,451719,8,175.0
51901,451719,9,175.0
51932,451719,10,190.0
51962,451719,11,175.0
51968,451719,12,175.0
54109,361342,1,350.0
54138,361342,2,350.0
55384,364728,1,148.0
55430,364728,2,139.0
55461,364728,3,139.0
55491,364728,4,139.0
55522,364728,5,139.0
55826,364728,7,139.0
55857,364728,8,139.0
55887,364728,9,139.0
55918,364728,10,147.0
55948,364728,11,145.0
55954,364728,12,145.0
56012,367107,1,300.0
56087,212050,4,320.0
56118,212050,5,320.0
56229,467852,1,500.0
56373,212050,7,246.0
56468,467852,2,500.0
56575,212050,11,253.0
56581,212050,12,253.0
56909,467852,4,650.0
56940,467852,5,650.0
56970,467852,6,650.0
57001,467852,7,750.0
57032,467852,8,750.0
57062,467852,9,700.0
57093,467852,10,750.0
57123,467852,11,650.0
57129,467852,12,650.0
57196,367491,6,188.0
57360,213721,1,155.0
57389,213721,2,155.0
58246,369870,9,115.0
58277,369870,10,115.0
58307,369870,11,115.0
58313,369870,12,115.0
58350,214531,2,149.0
58792,214531,9,109.0
58823,214531,10,109.0
58853,214531,11,109.0
58859,214531,12,109.0
59111,378523,3,275.0
59141,378523,4,375.0
59172,378523,5,375.0
59202,378523,6,375.0
59367,378523,7,375.0
59398,378523,8,275.0
59553,219276,1,245.0
59582,219276,2,245.0
59674,379143,1,86.0
59703,379143,2,88.0
59752,219276,3,245.0
59888,481664,3,95.0
60145,219276,4,245.0
60176,219276,5,245.0
60206,219276,6,245.0
60237,219276,7,245.0
60268,219276,8,245.0
60311,481664,5,95.0
60351,219276,9,245.0
60382,219276,10,245.0
60412,219276,11,245.0
60418,219276,12,245.0
60430,481664,6,95.0
60461,481664,7,95.0
60522,481664,9,95.0
60553,481664,10,95.0
60583,481664,11,95.0
60589,481664,12,95.0
60716,379885,1,150.0
60745,379885,2,180.0
60801,379885,3,199.0
61160,379885,4,249.0
61191,379885,5,229.0
61221,379885,6,199.0
61252,379885,7,199.0
61313,379885,9,199.0
61344,379885,10,199.0
61374,379885,11,199.0
61380,379885,12,199.0
61758,221943,1,170.0
61787,221943,2,170.0
62396,221943,3,170.0
62591,221943,5,170.0
62652,221943,7,170.0
62683,221943,8,170.0
62713,221943,9,170.0
62744,221943,10,170.0
62774,221943,11,170.0
62780,221943,12,170.0
63068,485237,1,120.0
63097,485237,2,120.0
63657,393400,1,260.0
65784,236632,2,124.0
65864,236632,3,150.0
65894,236632,4,202.0
66186,236632,5,241.0
66216,236632,6,226.0
66308,236632,9,255.0
66339,236632,10,255.0
66369,236632,11,255.0
66375,236632,12,255.0
66537,245927,1,399.0
66566,245927,2,399.0
66824,245927,3,420.0
67235,245927,4,620.0
67266,245927,5,500.0
67624,495862,4,400.0
67716,402353,1,132.0
67790,495862,7,400.0
67821,495862,8,400.0
67851,495862,9,400.0
67889,402353,2,132.0
67981,402353,5,136.0
68018,495862,10,400.0
68048,495862,11,400.0
68054,495862,12,400.0
68084,402353,7,159.0
68115,402353,8,136.0
68145,402353,9,136.0
68294,247805,1,119.0
68323,247805,2,119.0
68345,502869,1,250.0
68374,502869,2,250.0
68407,402353,10,159.0
68437,402353,11,123.0
68443,402353,12,123.0
68601,247805,5,129.0
68631,247805,6,129.0
68891,247805,8,129.0
68921,247805,9,129.0
68952,247805,10,119.0
68982,247805,11,129.0
68988,247805,12,129.0
69073,404740,2,325.0
69591,404740,4,350.0
69622,404740,5,350.0
69683,404740,7,325.0
69775,404740,10,325.0
69918,404740,11,325.0
69924,404740,12,325.0
71372,414917,1,280.0
71401,414917,2,280.0
71432,414917,3,280.0
71462,414917,4,280.0
71493,414917,5,280.0
71523,414917,6,280.0
71554,414917,7,280.0
71585,414917,8,280.0
71615,414917,9,280.0
71816,414917,10,280.0
71846,414917,11,280.0
71852,414917,12,280.0
72010,505650,1,140.0
72039,505650,2,140.0
72070,505650,3,140.0
72100,505650,4,140.0
72131,505650,5,140.0
72161,505650,6,140.0
72192,505650,7,140.0
72223,505650,8,140.0
72253,505650,9,140.0
72284,505650,10,140.0
72314,505650,11,140.0
72320,505650,12,140.0
72395,252080,2,325.0
72593,252080,4,385.0
72624,252080,5,385.0
72685,252080,7,385.0
73237,415619,7,146.0
73268,415619,8,145.0
73298,415619,9,145.0
73329,415619,10,155.0
73359,415619,11,155.0
73365,415619,12,155.0
74257,253650,1,159.0
74286,253650,2,159.0
74317,253650,3,159.0
74378,253650,5,189.0
74622,254104,1,149.0
74651,254104,2,149.0
74682,254104,3,149.0
74743,254104,5,149.0
74773,254104,6,149.0
74835,254104,8,149.0
74865,254104,9,149.0
74896,254104,10,149.0
74926,254104,11,149.0
74932,254104,12,149.0
76161,432233,1,315.0
76190,432233,2,315.0
76366,432233,3,300.0
76396,432233,4,300.0
76427,432233,5,300.0
76457,432233,6,300.0
76569,432233,7,315.0
76600,432233,8,300.0
76630,432233,9,300.0
76661,432233,10,315.0
76691,432233,11,300.0
76697,432233,12,300.0
76704,255809,1,150.0
76733,255809,2,175.0
76764,255809,3,150.0
76794,255809,4,150.0
76825,255809,5,150.0
76918,255809,8,150.0
76948,255809,9,150.0
76979,255809,10,150.0
77096,434097,1,90.0
77125,434097,2,90.0
77165,255809,11,150.0
77171,255809,12,150.0
77541,510836,1,800.0
77604,510836,2,800.0
77665,510836,4,700.0
77696,510836,5,700.0
77711,434097,4,120.0
78014,258273,1,8000.0
78043,258273,2,8000.0
78074,258273,3,8000.0
78104,258273,4,8000.0
78135,258273,5,8000.0
78165,258273,6,8000.0
78196,258273,7,8000.0
78227,258273,8,8000.0
78257,258273,9,8000.0
78288,258273,10,8000.0
78621,437757,4,119.0
78773,258273,11,8000.0
78779,258273,12,8000.0
79168,438089,1,119.0
79197,438089,2,119.0
79355,438089,4,219.0
79508,438089,9,119.0
79929,438089,10,119.0
79959,438089,11,119.0
79965,438089,12,119.0
80123,515088,1,139.0
80152,515088,2,139.0
80445,589194,11,85.0
80647,515088,3,139.0
80702,515088,4,139.0
80733,515088,5,139.0
80763,515088,6,139.0
80794,515088,7,139.0
80825,515088,8,139.0
80855,515088,9,139.0
80886,515088,10,139.0
80916,515088,11,139.0
80922,515088,12,139.0
81512,515921,1,170.0
81541,515921,2,170.0
82029,440992,5,200.0
82151,440992,9,200.0
82257,590236,5,130.0
82410,590236,10,130.0
82440,590236,11,130.0
82446,590236,12,130.0
83560,699991,2,95.0
84131,699991,11,95.0
84137,699991,12,95.0
84464,591951,1,325.0
84493,591951,2,325.0
84524,591951,3,325.0
84566,591951,4,325.0
84597,591951,5,335.0
84627,591951,6,330.0
84658,591951,7,325.0
84689,591951,8,325.0
84719,591951,9,325.0
84817,517852,5,290.0
85062,700797,1,175.0
85091,700797,2,175.0
85103,591951,10,325.0
85133,591951,11,325.0
85139,591951,12,325.0
85194,593101,1,69.0
85223,593101,2,82.0
85257,593101,3,77.0
85302,700797,3,175.0
85356,517996,1,225.0
85385,517996,2,225.0
85417,517996,3,225.0
85474,700797,5,175.0
85504,700797,6,175.0
85570,517996,4,225.0
85601,517996,5,225.0
85620,593101,4,89.0
85651,593101,5,89.0
85681,593101,6,85.0
85712,593101,7,89.0
85743,593101,8,85.0
85768,517996,6,225.0
85909,700797,8,175.0
85984,700797,9,175.0
86015,593101,9,85.0
86046,593101,10,89.0
86076,593101,11,79.0
86082,593101,12,75.0
86152,700797,10,175.0
86217,593483,1,430.0
86246,593483,2,430.0
86277,700797,11,175.0
86283,700797,12,175.0
86327,593483,3,430.0
86357,593483,4,430.0
86388,593483,5,430.0
86590,593483,6,430.0
86621,593483,7,430.0
86652,593483,8,430.0
86682,593483,9,430.0
86713,593483,10,430.0
86743,593483,11,430.0
86749,593483,12,430.0
87434,528022,1,100.0
87463,528022,2,100.0
87810,528022,3,110.0
87871,528022,5,110.0
87901,528022,6,110.0
88295,528022,7,110.0
88326,528022,8,110.0
88356,528022,9,110.0
88387,528022,10,110.0
88430,528022,11,110.0
88436,528022,12,110.0
88644,702120,8,140.0
88674,702120,9,140.0
88802,702120,10,140.0
88832,702120,11,140.0
88838,702120,12,140.0
89243,702124,8,80.0
89273,702124,9,80.0
89304,702124,10,80.0
89334,702124,11,80.0
89340,702124,12,80.0
89395,702894,1,210.0
89424,702894,2,210.0
89455,702894,3,240.0
89485,702894,4,240.0
89516,702894,5,240.0
89845,600983,6,95.0
89876,600983,7,95.0
90119,601498,3,150.0
90149,601498,4,150.0
90180,601498,5,150.0
90210,601498,6,150.0
90241,601498,7,150.0
90272,601498,8,150.0
90302,601498,9,150.0
90333,601498,10,152.0
90363,601498,11,154.0
90369,601498,12,154.0
90837,703616,2,150.0
90868,703616,3,150.0
91032,703616,4,150.0
91063,703616,5,150.0
91093,703616,6,150.0
91154,606871,1,99.0
91183,606871,2,212.0
91214,606871,3,187.0
91313,703616,7,150.0
91344,703616,8,150.0
91414,606871,4,312.0
91445,606871,5,187.0
91475,606871,6,218.0
91506,606871,7,218.0
91537,606871,8,218.0
91581,606871,9,250.0
91612,606871,10,250.0
91678,703616,9,150.0
91921,703616,10,150.0
91951,703616,11,150.0
91957,703616,12,150.0
92158,608432,2,93.0
93224,705423,11,219.0
93230,705423,12,219.0
93314,705509,2,95.0
94463,612698,1,180.0
94493,612698,2,180.0
94524,612698,3,180.0
94554,612698,4,180.0
94585,612698,5,180.0
94786,539579,1,65.0
94846,539579,3,65.0
94889,708528,1,110.0
94995,612698,6,180.0
95026,612698,7,180.0
95057,612698,8,180.0
95386,612698,9,180.0
95417,612698,10,180.0
95447,612698,11,180.0
95453,612698,12,180.0
95532,711952,1,275.0
95561,711952,2,275.0
95581,539579,6,65.0
95689,539579,7,65.0
95701,613088,1,78.0
95730,613088,2,78.0
95761,613088,3,85.0
95822,613088,5,85.0
95857,539579,8,65.0
95887,539579,9,65.0
95921,613088,6,85.0
95952,613088,7,85.0
95983,613088,8,85.0
96013,613088,9,85.0
96055,539579,10,65.0
96085,539579,11,65.0
96091,539579,12,65.0
96099,613088,10,85.0
96129,613088,11,85.0
96135,613088,12,85.0
97560,543932,1,345.0
97589,543932,2,345.0
97775,543932,3,295.0
97805,543932,4,295.0
97836,543932,5,295.0
97866,543932,6,295.0
97897,543932,7,345.0
97928,543932,8,295.0
97958,543932,9,295.0
97989,543932,10,345.0
98128,543932,11,295.0
98134,543932,12,295.0
98790,544506,1,395.0
98974,544506,2,395.0
99005,544506,3,395.0
99245,544506,4,395.0
99276,544506,5,395.0
99306,544506,6,395.0
99474,544506,7,395.0
99505,544506,8,395.0
99809,544506,9,395.0
99840,544506,10,395.0
99870,544506,11,395.0
99876,544506,12,395.0
101011,627188,2,105.0
101073,714520,1,250.0
101274,714520,2,250.0
102993,551495,1,75.0
103022,551495,2,75.0
103053,551495,3,75.0
103083,551495,4,75.0
103114,551495,5,75.0
106227,629670,10,230.0
106257,629670,11,225.0
106263,629670,12,225.0
106773,553216,1,1750.0
106856,721291,1,79.0
106885,721291,2,79.0
107024,553216,2,1750.0
107055,553216,3,1750.0
107174,553216,4,1750.0
107205,553216,5,1750.0
107235,553216,6,1750.0
107266,553216,7,1750.0
107297,553216,8,1750.0
107349,553216,9,1750.0
107380,553216,10,1750.0
107410,553216,11,1750.0
107416,553216,12,1750.0
107473,721291,3,69.0
107595,721291,7,79.0
107626,721291,8,69.0
107656,721291,9,69.0
107687,721291,10,79.0
107717,721291,11,69.0
107723,721291,12,69.0
107730,634170,1,130.0
107759,634170,2,130.0
107790,634170,3,100.0
108162,634170,7,130.0
108193,634170,8,100.0
108223,634170,9,100.0
108254,634170,10,130.0
108439,553514,7,90.0
108470,553514,8,90.0
108754,634170,11,100.0
108760,634170,12,100.0
109345,553514,9,90.0
109376,553514,10,90.0
109815,553514,11,90.0
109821,553514,12,90.0
110469,728144,1,340.0
110498,728144,2,350.0
111048,728144,8,280.0
111337,728145,1,250.0
111366,728145,2,250.0
111539,728145,3,250.0
111569,728145,4,250.0
111600,728145,5,250.0
111630,728145,6,250.0
111661,728145,7,250.0
111692,728145,8,250.0
111722,728145,9,250.0
111753,728145,10,250.0
111783,728145,11,250.0
111789,728145,12,250.0
113344,729260,1,145.0
113373,729260,2,145.0
113465,729260,5,145.0
113495,729260,6,145.0
113618,729260,10,145.0
113648,729260,11,145.0
113654,729260,12,145.0
114134,729395,3,150.0
114225,729395,6,150.0
114317,729395,9,150.0
114425,642247,2,120.0
114514,556829,6,124.0
114759,729395,10,150.0
114789,729395,11,129.0
114795,729395,12,127.0
114898,730916,1,83.0
114927,561022,1,525.0
115734,730916,3,83.0
115795,730916,5,83.0
115825,730916,6,83.0
115856,730916,7,83.0
115887,730916,8,83.0
115917,730916,9,83.0
115948,730916,10,75.0
115978,730916,11,80.0
115984,730916,12,80.0
116310,645568,1,200.0
116339,645568,2,200.0
116370,645568,3,180.0
116400,645568,4,180.0
116431,645568,5,180.0
116629,561297,1,139.0
116695,645568,6,180.0
116749,561297,2,139.0
116766,645568,7,200.0
116797,645568,8,180.0
116827,645568,9,180.0
116858,645568,10,200.0
116888,645568,11,180.0
116894,645568,12,180.0
116949,731834,1,310.0
116978,731834,2,310.0
117110,645579,1,250.0
117139,645579,2,250.0
117170,645579,3,250.0
117200,645579,4,250.0
117261,645579,6,250.0
117292,645579,7,250.0
117323,645579,8,250.0
117353,645579,9,250.0
117385,731834,3,275.0
117628,645579,10,250.0
117658,645579,11,250.0
117664,645579,12,250.0
118309,731834,12,275.0
119345,732509,11,160.0
119351,732509,12,160.0
119959,650232,7,150.0
119990,650232,8,150.0
120020,650232,9,150.0
120081,650232,11,150.0
120087,650232,12,150.0
121361,570753,2,65.0
122206,570753,7,65.0
122237,570753,8,65.0
122267,570753,9,65.0
122298,570753,10,65.0
122328,570753,11,65.0
122334,570753,12,65.0
123028,740374,1,189.0
123292,652888,6,100.0
123323,652888,7,100.0
123354,652888,8,100.0
123384,652888,9,100.0
123415,652888,10,100.0
123445,652888,11,100.0
123451,652888,12,100.0
123454,740374,2,189.0
123487,740374,3,189.0
123517,740374,4,189.0
123548,740374,5,189.0
123578,740374,6,189.0
123609,740374,7,189.0
123640,740374,8,189.0
123670,740374,9,189.0
123701,740374,10,189.0
123731,740374,11,189.0
123737,740374,12,189.0
